Artifact,OriginalVersion,Architecture,ReleaseUse,FileSize,SizeBasedVersion,SameAsOriginal,NoAssayDev,ReleaseBasedAndSame
ts-assaydev-ovat-plugin68,6.7.15.1,amd64,6.7.15.1_AssayDev,20066348,6.7.15.1,TRUE,6.7.15.1,TRUE
ts-assaydev-ovat-plugin68,6.7.15.1,amd64,6.7.15.2_AssayDev,20066348,6.7.15.1,TRUE,6.7.15.2,TRUE
ts-assaydev-ovat-plugin68,6.7.16,amd64,6.7.16_AssayDev,20066056,6.7.16,TRUE,6.7.16,TRUE
ts-assaydev-ovat-plugin68,6.7.17,amd64,6.7.17_AssayDev,20070416,6.7.17,TRUE,6.7.17,TRUE
ts-assaydev-ovat-plugin68,6.7.17,amd64,6.7.17.1_AssayDev,20070416,6.7.17,TRUE,6.7.17.1,TRUE
ts-assaydev-purificationscriptupdates,6.7.15,Linux,6.7.15_AssayDev,280530,6.7.15,TRUE,6.7.15,TRUE
ts-assaydev-purificationscriptupdates,6.7.15.1,Linux,6.7.15.1_AssayDev,280908,6.7.15.1,TRUE,6.7.15.1,TRUE
ts-assaydev-purificationscriptupdates,6.7.15.1,Linux,6.7.15.2_AssayDev,280908,6.7.15.1,TRUE,6.7.15.2,TRUE
ts-assaydev-purificationscriptupdates,6.7.16,Linux,6.7.16_AssayDev,280842,6.7.16,TRUE,6.7.16,TRUE
ts-assaydev-purificationscriptupdates,6.7.17,Linux,6.7.17_AssayDev,280648,6.7.17,TRUE,6.7.17,TRUE
ts-assaydev-purificationscriptupdates,6.7.17,Linux,6.7.17.1_AssayDev,280648,6.7.17,TRUE,6.7.17.1,TRUE
ts-assaydev-purificationsoftwareupdates,6.7.15,Linux,6.7.15_AssayDev,2912126026,6.7.15,TRUE,6.7.15,TRUE
ts-assaydev-purificationsoftwareupdates,6.7.15.1,Linux,6.7.15.1_AssayDev,2911566694,6.7.15.1,TRUE,6.7.15.1,TRUE
ts-assaydev-purificationsoftwareupdates,6.7.15.1,Linux,6.7.15.2_AssayDev,2911566694,6.7.15.1,TRUE,6.7.15.2,TRUE
ts-assaydev-purificationsoftwareupdates,6.7.16,Linux,6.7.16_AssayDev,2911718894,6.7.16,TRUE,6.7.16,TRUE
ts-assaydev-purificationsoftwareupdates,6.7.17,Linux,6.7.17_AssayDev,2921797270,6.7.17,TRUE,6.7.17,TRUE
ts-assaydev-purificationsoftwareupdates,6.7.17,Linux,6.7.17.1_AssayDev,2921797270,6.7.17,TRUE,6.7.17.1,TRUE
ts-assaydev-reportbuilder,6.7.15,,6.7.15_AssayDev,315831420,6.7.15,TRUE,6.7.15,TRUE
